username,repo_name,stars,repo_url
jwasham,coding-interview-university,269000,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,176000,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,171000,https://github.com/TheAlgorithms/Python
CyC2018,CS-Notes,168000,https://github.com/CyC2018/CS-Notes
yangshun,tech-interview-handbook,96200,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,60500,https://github.com/kdn251/interviews
TheAlgorithms,Java,54300,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,52600,https://github.com/azl397985856/leetcode
algorithm-visualizer,algorithm-visualizer,44800,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,42700,https://github.com/youngyangyang04/leetcode-master
krahets,hello-algo,39400,https://github.com/krahets/hello-algo
halfrost,LeetCode-Go,30700,https://github.com/halfrost/LeetCode-Go
huihut,interview,30700,https://github.com/huihut/interview
TheAlgorithms,JavaScript,29200,https://github.com/TheAlgorithms/JavaScript
donnemartin,interactive-coding-challenges,27900,https://github.com/donnemartin/interactive-coding-challenges
crossoverJie,JCSprout,27000,https://github.com/crossoverJie/JCSprout
TheAlgorithms,C-Plus-Plus,26300,https://github.com/TheAlgorithms/C-Plus-Plus
keon,algorithms,23000,https://github.com/keon/algorithms
mxgmn,WaveFunctionCollapse,21900,https://github.com/mxgmn/WaveFunctionCollapse
trekhleb,homemade-machine-learning,21900,https://github.com/trekhleb/homemade-machine-learning
