username,repo_name,stars,repo_url
amphp,amp,4000,https://github.com/amphp/amp
danog,MadelineProto,2500,https://github.com/danog/MadelineProto
unreal4u,telegram-api,765,https://github.com/unreal4u/telegram-api
amphp,parallel,697,https://github.com/amphp/parallel
amphp,http-client,669,https://github.com/amphp/http-client
amphp,byte-stream,348,https://github.com/amphp/byte-stream
php-service-bus,service-bus,345,https://github.com/php-service-bus/service-bus
amphp,mysql,328,https://github.com/amphp/mysql
amphp,parallel-functions,248,https://github.com/amphp/parallel-functions
amphp,process,218,https://github.com/amphp/process
amphp,socket,200,https://github.com/amphp/socket
xtrime-ru,TelegramRSS,195,https://github.com/xtrime-ru/TelegramRSS
amphp,sync,146,https://github.com/amphp/sync
amphp,dns,141,https://github.com/amphp/dns
amphp,redis,140,https://github.com/amphp/redis
amphp,websocket-client,126,https://github.com/amphp/websocket-client
kelunik,acme,122,https://github.com/kelunik/acme
amphp,websocket-server,102,https://github.com/amphp/websocket-server
amphp,serialization,100,https://github.com/amphp/serialization
PeeHaa,mailgrab,92,https://github.com/PeeHaa/mailgrab
