username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,105000,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,90700,https://github.com/angular/angular
storybookjs,storybook,80600,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,59300,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,49500,https://github.com/ionic-team/ionic-framework
prettier,prettier,46800,https://github.com/prettier/prettier
Asabeneh,30-Days-Of-JavaScript,38800,https://github.com/Asabeneh/30-Days-Of-JavaScript
SheetJS,sheetjs,33700,https://github.com/SheetJS/sheetjs
angular,angular-cli,26200,https://github.com/angular/angular-cli
angular,components,23700,https://github.com/angular/components
NativeScript,NativeScript,23100,https://github.com/NativeScript/NativeScript
goldbergyoni,javascript-testing-best-practices,22400,https://github.com/goldbergyoni/javascript-testing-best-practices
jhipster,generator-jhipster,20900,https://github.com/jhipster/generator-jhipster
pubkey,rxdb,19700,https://github.com/pubkey/rxdb
nrwl,nx,19700,https://github.com/nrwl/nx
wailsapp,wails,18300,https://github.com/wailsapp/wails
sudheerj,javascript-interview-questions,18200,https://github.com/sudheerj/javascript-interview-questions
teambit,bit,17100,https://github.com/teambit/bit
sweetalert2,sweetalert2,16300,https://github.com/sweetalert2/sweetalert2
jasontaylordev,CleanArchitecture,13700,https://github.com/jasontaylordev/CleanArchitecture
