username,repo_name,stars,repo_url
Genymobile,scrcpy,92400,https://github.com/Genymobile/scrcpy
neovim,neovim,70200,https://github.com/neovim/neovim
obsproject,obs-studio,50800,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,49700,https://github.com/fffaraz/awesome-cpp
git,git,47600,https://github.com/git/git
FFmpeg,FFmpeg,38900,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,37200,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,33200,https://github.com/vim/vim
curl,curl,31900,https://github.com/curl/curl
huihut,interview,30700,https://github.com/huihut/interview
ggreer,the_silver_searcher,25300,https://github.com/ggreer/the_silver_searcher
mpv-player,mpv,23800,https://github.com/mpv-player/mpv
ossrs,srs,22800,https://github.com/ossrs/srs
google,flatbuffers,21200,https://github.com/google/flatbuffers
ruby,ruby,20900,https://github.com/ruby/ruby
kovidgoyal,kitty,20100,https://github.com/kovidgoyal/kitty
microsoft,vcpkg,19900,https://github.com/microsoft/vcpkg
oracle,graal,19100,https://github.com/oracle/graal
radareorg,radare2,18700,https://github.com/radareorg/radare2
hashcat,hashcat,18400,https://github.com/hashcat/hashcat
