username,repo_name,stars,repo_url
vercel,next.js,113000,https://github.com/vercel/next.js
rust-lang,rust,86200,https://github.com/rust-lang/rust
sveltejs,svelte,73100,https://github.com/sveltejs/svelte
webpack,webpack,63600,https://github.com/webpack/webpack
gatsbyjs,gatsby,54800,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,46000,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,42700,https://github.com/parcel-bundler/parcel
babel,babel,42500,https://github.com/babel/babel
evanw,esbuild,36200,https://github.com/evanw/esbuild
vlang,v,34800,https://github.com/vlang/v
carbon-language,carbon-lang,31400,https://github.com/carbon-language/carbon-lang
markedjs,marked,30700,https://github.com/markedjs/marked
FuelLabs,sway,30600,https://github.com/FuelLabs/sway
swc-project,swc,28700,https://github.com/swc-project/swc
ziglang,zig,26400,https://github.com/ziglang/zig
vercel,pkg,23800,https://github.com/vercel/pkg
v8,v8,21800,https://github.com/v8/v8
typst,typst,21500,https://github.com/typst/typst
AssemblyScript,assemblyscript,16000,https://github.com/AssemblyScript/assemblyscript
RustPython,RustPython,15700,https://github.com/RustPython/RustPython
